coreData_id,coreData_speed,coreData_accelset_long,coreData_accelset_lat,t,x,y,perReportID,corrupted,peerReported
8664210,535,-31,-11,60.7500012,-82.4456075,27.9566356,8664210,0,0
8965636,532.998150235497,-31.0000284485349,5.00002176833883,60.8000007999999,-82.4456269414493,27.9565988543701,8965636,1,0
8664210,534,-18,-95,60.8500012,-82.4456075,27.9566259,8664210,0,0
8664210,455,-36,-18,60.8500012,-82.4477368,27.9539924,8664210,0,0
8965636,461.999002607032,-32.0000497727016,11.9999973323496,60.9000008,-82.4478384824679,27.9539883759952,8965636,1,0
8664210,537,-6,-54,60.9490012000001,-82.4456078,27.9566159,8664210,0,0
8965636,531.999495251013,6.99998802113229,72.0000282184643,61.0000008,-82.4456008999831,27.9565776997264,8965636,1,0
8664210,535,-50,-23,61.0500012,-82.4456079,27.9566062,8664210,0,0
8965636,524.998745412101,-37.9999429142575,-26.9999803179193,61.0990007999999,-82.4457073573224,27.9565959633812,8965636,1,0
8664210,533,-31,5,61.1500012000001,-82.4456079,27.9565966,8664210,0,0
8965636,523.998594357039,-9.99997691413865,45.0000133985489,61.2000008,-82.4456063767615,27.9565423041386,8965636,1,0
8664210,462,-32,12,61.2500012,-82.4477676,27.9539732,8664210,0,0
8965636,523.000814564454,-6.00003776565836,17.9999791417767,61.3000007999999,-82.4456654827256,27.9565789380499,8965636,1,0
8664210,460,-46,-63,61.3500012,-82.4477752,27.9539684,8664210,0,0
8664210,532,7,72,61.3500012,-82.4456079,27.9565774,8664210,0,0
8965636,522.99991955611,-11.000007422035,-30.0000059848038,61.4000008,-82.4456147234598,27.9565061236628,8965636,1,0
8664210,525,-38,-27,61.4490012000001,-82.4456083,27.9565684,8664210,0,0
8664210,444,-15,-72,61.4490012000001,-82.4477809,27.9539656,8664210,0,0
8965636,521.999440043109,-16.9999683530279,-4.00001395476838,61.5000008,-82.445650961488,27.9565553236969,8965636,1,0
8965636,521.999704515709,-43.9999427326579,25.0000021411986,61.5990007999999,-82.4456241343542,27.9565165285893,8965636,1,0
8965636,519.999876815209,-25.0000047662021,20.9999887871344,61.7000008,-82.4456578451175,27.9565196258265,8965636,1,0
